No,Species,Nomenclature,C(cm),DBH(cm),S(m2),Latitude,Longitude,Code
1,Bạch tùng,Dacrycarpus imbricatus ,62.5,19.89,0.03108092,14.499769,108.576385,A1
2,Bạch tùng,Dacrycarpus imbricatus ,84.8,26.99,0.057217059,14.499799,108.576357,A1
3,Bạch tùng,Dacrycarpus imbricatus ,53.5,17.03,0.022774109,14.499337,108.576284,A1
4,Bạch tùng,Dacrycarpus imbricatus ,88.5,28.17,0.062318985,14.499328,108.576277,A1
5,Bạch tùng,Dacrycarpus imbricatus ,69,21.96,0.037881922,14.499651,108.576259,A1
6,Bạch tùng,Dacrycarpus imbricatus ,184,58.56,0.269382559,14.499441,108.576244,A1
7,Bạch tùng,Dacrycarpus imbricatus ,90.5,28.8,0.065167489,14.499477,108.576189,A1
8,Bạch tùng,Dacrycarpus imbricatus ,96,30.55,0.07332909,14.499442,108.576189,A1
9,Bạch tùng,Dacrycarpus imbricatus ,123,39.15,0.120377148,14.499428,108.576173,A1
10,Bạch tùng,Dacrycarpus imbricatus ,81,25.78,0.05220401,14.49957,108.576166,A1
11,Bạch tùng,Dacrycarpus imbricatus ,100,31.83,0.079567155,14.499448,108.576141,A1
12,Bạch tùng,Dacrycarpus imbricatus ,120.5,38.35,0.115533498,14.499708,108.576137,A1
13,Bạch tùng,Dacrycarpus imbricatus ,170.4,54.23,0.231032463,14.499599,108.576122,A1
14,Bạch tùng,Dacrycarpus imbricatus ,143.5,45.67,0.163846674,14.49942,108.576068,A1
15,Bạch tùng,Dacrycarpus imbricatus ,126.5,40.26,0.12732535,14.499314,108.576064,A1
16,Bạch tùng,Dacrycarpus imbricatus ,108.5,34.53,0.093668444,14.499534,108.576038,A1
17,Bạch tùng,Dacrycarpus imbricatus ,176,56.02,0.246467218,14.499561,108.576015,A1
18,Bạch tùng,Dacrycarpus imbricatus ,166,52.83,0.219255251,14.499416,108.576001,A1
19,Bạch tùng,Dacrycarpus imbricatus ,131,41.69,0.136545194,14.49963,108.575984,A1
20,Bạch tùng,Dacrycarpus imbricatus ,182,57.92,0.263558243,14.49962,108.575958,A1
21,Bạch tùng,Dacrycarpus imbricatus ,120,38.19,0.114576703,14.499604,108.575918,A1
22,Bạch tùng,Dacrycarpus imbricatus ,98,31.19,0.076416295,14.499354,108.575916,A1
23,Bạch tùng,Dacrycarpus imbricatus ,180,57.29,0.257797581,14.499225,108.575914,A1
24,Bạch tùng,Dacrycarpus imbricatus ,187.5,59.68,0.279728278,14.4995032,108.5758683,A1
25,Bạch tùng,Dacrycarpus imbricatus ,82.5,26.26,0.054155395,14.500104,108.576168,A1
26,Chẹo,Engelhardtia roxburghiana ,425,135.26,1.437181731,14.499872,108.576441,A10
27,Chẹo,Engelhardtia roxburghiana ,68.5,21.8,0.037334898,14.499362,108.57611,A10
28,Chẹo,Engelhardtia roxburghiana ,87.5,27.85,0.060918603,14.5000887,108.5756392,A10
29,Chò xót,Schima crenata,32.8,10.44,0.008560153,14.499936,108.576429,A12
30,Chò xót,Schima crenata,37,11.78,0.010892743,14.499658,108.576424,A12
31,Chò xót,Schima crenata,37,11.78,0.010892743,14.499755,108.576315,A12
32,Chò xót,Schima crenata,56,17.82,0.02495226,14.499747,108.576309,A12
33,Chò xót,Schima crenata,129.4,41.18,0.133230108,14.499999,108.576284,A12
34,Chò xót,Schima crenata,66.2,21.07,0.034869828,14.500099,108.576202,A12
35,Chò xót,Schima crenata,66,21.01,0.034659453,14.499906,108.576183,A12
36,Chò xót,Schima crenata,142.9,45.48,0.162479392,14.499852,108.576144,A12
37,Chò xót,Schima crenata,115.5,36.76,0.106144574,14.499724,108.576133,A12
38,Chò xót,Schima crenata,88.4,28.13,0.06217823,14.499371,108.576032,A12
39,Chò xót,Schima crenata,64,20.37,0.032590707,14.499934,108.576021,A12
40,Chò xót,Schima crenata,65.5,20.85,0.034136299,14.499495,108.575945,A12
41,Chò xót,Schima crenata,76.6,24.38,0.046686505,14.4997903,108.5758763,A12
42,Chò xót,Schima crenata,148,47.1,0.174283896,14.4996996,108.5757034,A12
43,Chò xót,Schima crenata,161.4,51.37,0.20727212,14.499258,108.5756695,A12
44,Chò xót,Schima crenata,87,27.69,0.060224379,14.4995053,108.5756644,A12
45,Chò xót,Schima crenata,110.5,35.17,0.097153485,14.4995063,108.5756568,A12
46,Chò xót,Schima crenata,164,52.2,0.214003819,14.4997261,108.5756521,A12
47,Chò xót,Schima crenata,136,43.28,0.147167409,14.4998808,108.5756019,A12
48,Chò xót,Schima crenata,225,71.61,0.402808721,14.4998983,108.5755556,A12
49,Chò xót,Schima crenata,231,73.52,0.424578294,14.499405,108.5755528,A12
50,Chò xót,Schima crenata,220,70.02,0.385105029,14.4994331,108.575528,A12
51,Chôm chôm đỏ,Nephelium Sp ,48.9,15.56,0.019026178,14.499577,108.576365,A13
52,Chua ke,Microcos paniculata,45,14.32,0.016112349,14.499925,108.576372,A14
53,Cóc đá,Garuga pinnata ,50.4,16.04,0.02021133,14.500047,108.5759155,A15
54,Cóc đá,Garuga pinnata ,63.5,20.21,0.032083466,14.4998717,108.5758871,A15
55,Cóc đá,Garuga pinnata ,38.1,12.13,0.011550048,14.4998717,108.5758871,A15
56,Cóc đá,Garuga pinnata ,36.5,11.62,0.010600334,14.5000154,108.5758451,A15
57,Cóc đá,Garuga pinnata ,90.8,28.9,0.065600255,14.4997667,108.5758056,A15
58,Cóc đá,Garuga pinnata ,57.3,18.24,0.026124204,14.4996722,108.5758052,A15
59,Cóc đá,Garuga pinnata ,56,17.82,0.02495226,14.4997738,108.5757984,A15
60,Cóc đá,Garuga pinnata ,82.3,26.19,0.053893141,14.4996494,108.5757698,A15
61,Cóc đá,Garuga pinnata ,81.5,25.94,0.052850493,14.4999717,108.575659,A15
62,Cóc đá,Garuga pinnata ,76.5,24.35,0.046564688,14.49976676,108.5757676,A15
63,Cóc đá,Garuga pinnata ,64,20.37,0.032590707,14.4997054,108.5756417,A15
64,Cóc đá,Garuga pinnata ,59.6,18.97,0.028263526,14.4997332,108.5756415,A15
65,Cóc đá,Garuga pinnata ,120,38.19,0.114576703,14.4998539,108.5756397,A15
66,Cóc đá,Garuga pinnata ,74.6,23.74,0.044280395,14.5000544,108.575637,A15
67,Cóc đá,Garuga pinnata ,96.4,30.68,0.073941439,14.4993843,108.5756234,A15
68,Cóc đá,Garuga pinnata ,129.4,41.18,0.133230108,14.4992604,108.5755865,A15
69,Cóc đá,Garuga pinnata ,196.4,62.51,0.306914067,14.4995727,108.5754971,A15
70,Côm,Elaeocarpus Sp,51.3,16.33,0.020939609,14.499834,108.57636,A16
71,Côm,Elaeocarpus Sp,72.8,23.17,0.042169319,14.499366,108.57596,A16
72,Côm,Elaeocarpus Sp,53.6,17.06,0.022859325,14.499383,108.5758569,A16
73,Côm,Elaeocarpus Sp,37.5,11.94,0.011189131,14.4997478,108.5757708,A16
74,Côm,Elaeocarpus Sp,60.4,19.22,0.029027371,14.4998289,108.5756754,A16
75,Côm,Elaeocarpus Sp,70,22.28,0.038987906,14.4998394,108.5756656,A16
76,Côm,Elaeocarpus Sp,168,53.47,0.224570337,14.4999862,108.5756283,A16
77,Côm,Elaeocarpus Sp,65.6,20.88,0.034240611,14.4998602,108.5756034,A16
78,Côm,Elaeocarpus Sp,77,24.51,0.047175366,14.4999133,108.5755167,A16
79,Côm đăklăk,Elaeocarpus darlacensis,32,10.18,0.008147677,14.50001,108.576357,A17
80,Côm đăklăk,Elaeocarpus darlacensis,55,17.5,0.024069064,14.49931,108.576162,A17
81,Côm đăklăk,Elaeocarpus darlacensis,55.4,17.63,0.024420433,14.499851,108.576144,A17
82,Côm đăklăk,Elaeocarpus darlacensis,220,70.02,0.385105029,14.4997178,108.5756629,A17
83,Côm lá kèm,Elaeocarpus stipularis,81.4,25.91,0.052720878,14.499765,108.576422,A18
84,Côm lá kèm,Elaeocarpus stipularis,101.8,32.4,0.082457352,14.499302,108.5764,A18
85,Côm lá kèm,Elaeocarpus stipularis,48.2,15.34,0.01848536,14.499427,108.576372,A18
86,Côm lá kèm,Elaeocarpus stipularis,124.6,39.66,0.123529281,14.499345,108.576338,A18
87,Côm lá kèm,Elaeocarpus stipularis,84,26.73,0.056142584,14.499417,108.576299,A18
88,Côm lá kèm,Elaeocarpus stipularis,98.7,31.41,0.077511856,14.499572,108.576271,A18
89,Côm lá kèm,Elaeocarpus stipularis,91,28.96,0.065889561,14.499564,108.576197,A18
90,Côm lá kèm,Elaeocarpus stipularis,97.4,31,0.07548345,14.500117,108.576191,A18
91,Côm lá kèm,Elaeocarpus stipularis,112,35.65,0.099809039,14.499847,108.576172,A18
92,Côm lá kèm,Elaeocarpus stipularis,114.4,36.41,0.1041324,14.499285,108.576157,A18
93,Côm lá kèm,Elaeocarpus stipularis,140.5,44.72,0.157067553,14.499379,108.576152,A18
94,Côm lá kèm,Elaeocarpus stipularis,175,55.7,0.243674411,14.499894,108.576045,A18
95,Côm lá kèm,Elaeocarpus stipularis,125.2,39.85,0.124721833,14.5001153,108.5759302,A18
96,Côm lá kèm,Elaeocarpus stipularis,89,28.33,0.063025143,14.4998687,108.5757875,A18
97,Côm lá kèm,Elaeocarpus stipularis,152,48.38,0.183831954,14.4996824,108.5756875,A18
98,Côm lá kèm,Elaeocarpus stipularis,192,61.11,0.293316359,14.4992666,108.5756808,A18
99,Côm lá kèm,Elaeocarpus stipularis,105,33.42,0.087722788,14.4993622,108.57567,A18
100,Côm lá kèm,Elaeocarpus stipularis,138.5,44.08,0.152627705,14.4993099,108.575653,A18
101,Côm lá kèm,Elaeocarpus stipularis,113,35.96,0.1015993,14.4997899,108.5755657,A18
102,Côm trâu,Elaeocarpus sylvestris ,49,15.6,0.019104074,14.49985,108.576074,A19
103,Bứa lá nhỏ,Garcinia Sp,30.5,9.71,0.007401735,14.499806,108.576392,A2
104,Bứa lá nhỏ,Garcinia Sp,51.5,16.39,0.021103199,14.501686,108.576387,A2
105,Bứa lá nhỏ,Garcinia Sp,31.3,9.96,0.007795115,14.499376,108.575746,A2
106,Bứa lá nhỏ,Garcinia Sp,57.6,18.33,0.026398472,14.49934,108.575726,A2
107,Bứa lá nhỏ,Garcinia Sp,40.5,12.89,0.013051003,14.499408,108.575994,A2
108,Bứa lá nhỏ,Garcinia Sp,40,12.73,0.012730745,14.499276,108.575989,A2
109,Bứa lá nhỏ,Garcinia Sp,48,15.28,0.018332272,14.499951,108.575904,A2
110,Bứa lá nhỏ,Garcinia Sp,50.5,16.07,0.020291614,14.4997553,108.5758645,A2
