No,Species,Nomenclature,C(cm),DBH(cm),S(m2),Latitude,Longitude,Code
1,Bạch tùng,Dacrycarpus imbricatus ,62.5,19.89,0.03,14.499769,108.576385,A1
2,Bạch tùng,Dacrycarpus imbricatus ,84.8,26.99,0.06,14.499799,108.576357,A1
3,Bạch tùng,Dacrycarpus imbricatus ,53.5,17.03,0.02,14.499337,108.576284,A1
4,Bạch tùng,Dacrycarpus imbricatus ,88.5,28.17,0.06,14.499328,108.576277,A1
5,Bạch tùng,Dacrycarpus imbricatus ,69,21.96,0.04,14.499651,108.576259,A1
6,Bạch tùng,Dacrycarpus imbricatus ,184,58.56,0.27,14.499441,108.576244,A1
7,Bạch tùng,Dacrycarpus imbricatus ,90.5,28.8,0.07,14.499477,108.576189,A1
8,Bạch tùng,Dacrycarpus imbricatus ,96,30.55,0.07,14.499442,108.576189,A1
9,Bạch tùng,Dacrycarpus imbricatus ,123,39.15,0.12,14.499428,108.576173,A1
10,Bạch tùng,Dacrycarpus imbricatus ,81,25.78,0.05,14.49957,108.576166,A1
11,Bạch tùng,Dacrycarpus imbricatus ,100,31.83,0.08,14.499448,108.576141,A1
12,Bạch tùng,Dacrycarpus imbricatus ,120.5,38.35,0.12,14.499708,108.576137,A1
13,Bạch tùng,Dacrycarpus imbricatus ,170.4,54.23,0.23,14.499599,108.576122,A1
14,Bạch tùng,Dacrycarpus imbricatus ,143.5,45.67,0.16,14.49942,108.576068,A1
15,Bạch tùng,Dacrycarpus imbricatus ,126.5,40.26,0.13,14.499314,108.576064,A1
16,Bạch tùng,Dacrycarpus imbricatus ,108.5,34.53,0.09,14.499534,108.576038,A1
17,Bạch tùng,Dacrycarpus imbricatus ,176,56.02,0.25,14.499561,108.576015,A1
18,Bạch tùng,Dacrycarpus imbricatus ,166,52.83,0.22,14.499416,108.576001,A1
19,Bạch tùng,Dacrycarpus imbricatus ,131,41.69,0.14,14.49963,108.575984,A1
20,Bạch tùng,Dacrycarpus imbricatus ,182,57.92,0.26,14.49962,108.575958,A1
21,Bạch tùng,Dacrycarpus imbricatus ,120,38.19,0.11,14.499604,108.575918,A1
22,Bạch tùng,Dacrycarpus imbricatus ,98,31.19,0.08,14.499354,108.575916,A1
23,Bạch tùng,Dacrycarpus imbricatus ,180,57.29,0.26,14.499225,108.575914,A1
24,Bạch tùng,Dacrycarpus imbricatus ,187.5,59.68,0.28,14.4995032,108.5758683,A1
25,Bứa lá nhỏ,Garcinia Sp,30.5,9.71,0.01,14.499806,108.576392,A2
26,Bứa lá nhỏ,Garcinia Sp,51.5,16.39,0.02,14.501686,108.576387,A2
27,Bứa lá nhỏ,Garcinia Sp,31.3,9.96,0.01,14.499376,108.575746,A2
28,Bứa lá nhỏ,Garcinia Sp,57.6,18.33,0.03,14.49934,108.575726,A2
29,Bứa lá nhỏ,Garcinia Sp,40.5,12.89,0.01,14.499408,108.575994,A2
30,Bứa lá nhỏ,Garcinia Sp,40,12.73,0.01,14.499276,108.575989,A2
31,Bứa lá nhỏ,Garcinia Sp,48,15.28,0.02,14.499951,108.575904,A2
32,Bứa lá nhỏ,Garcinia Sp,50.5,16.07,0.02,14.4997553,108.5758645,A2
33,Bứa lá nhỏ,Garcinia Sp,39,12.41,0.01,14.5001154,108.5758456,A2
34,Bứa lá nhỏ,Garcinia Sp,44,14,0.02,14.4997659,108.5758084,A2
35,Bứa lá nhỏ,Garcinia Sp,40.5,12.89,0.01,14.4997315,108.5756528,A2
36,Bùi,Ilex Sp,30.5,9.71,0.01,14.503472,108.576377,A3
37,Bùi,Ilex Sp,33,10.5,0.01,14.499502,108.576154,A3
38,Bùi,Ilex Sp,112,35.65,0.1,14.5000969,108.576022,A3
39,Bùi,Ilex Sp,85.8,27.31,0.06,14.49966,108.575958,A3
40,Búi lửa,Mastixia arborea ,66.5,21.16,0.04,14.4994115,108.5757849,A4
41,Cà đuối,Cryptocarya metcalfiana,42.5,13.53,0.01,14.499481,108.576286,A5
42,Cà đuối,Cryptocarya metcalfiana,52.2,16.61,0.02,14.499289,108.575722,A5
43,Cà đuối,Cryptocarya metcalfiana,42.6,13.56,0.01,14.5001755,108.5760561,A5
44,Cà đuối,Cryptocarya metcalfiana,38,12.09,0.01,14.5001643,108.5760045,A5
45,Cà đuối,Cryptocarya metcalfiana,44.2,14.07,0.02,14.5000947,108.575683,A5
46,Cà đuối,Cryptocarya metcalfiana,75,23.87,0.04,14.4997399,108.5756417,A5
47,Cà đuối,Cryptocarya metcalfiana,72.4,23.04,0.04,14.4993797,108.5755707,A5
48,Cà đuối,Cryptocarya metcalfiana,64,20.37,0.03,14.4995727,108.5754971,A5
49,Cám,Parinari annamensis ,49.5,15.75,0.02,14.499633,108.576149,A6
50,Chắp tay,Exbucklandia tonkinensis ,33.5,10.66,0.01,14.500001,108.576347,A7
51,Chắp tay,Exbucklandia tonkinensis ,32.5,10.34,0.01,14.499759,108.576065,A7
52,Chắp tay,Exbucklandia tonkinensis ,43,13.69,0.01,14.499534,108.576038,A7
53,Chắp tay,Exbucklandia tonkinensis ,37.8,12.03,0.01,14.5000233,108.5758191,A7
54,Chắp tay,Exbucklandia tonkinensis ,40.8,12.99,0.01,14.499435,108.5757502,A7
55,Chắp tay,Exbucklandia tonkinensis ,129.4,41.18,0.13,14.4999882,108.5755616,A7
56,Chắp xanh,Exbucklandia populnea ,28.4,9.04,0.01,14.501319,108.576424,A8
57,Chắp xanh,Exbucklandia populnea ,31.5,10.03,0.01,14.499237,108.57642,A8
58,Chắp xanh,Exbucklandia populnea ,37.5,11.94,0.01,14.49993,108.576383,A8
59,Chắp xanh,Exbucklandia populnea ,48,15.28,0.02,14.499966,108.57636,A8
60,Chắp xanh,Exbucklandia populnea ,35.6,11.33,0.01,14.499449,108.576349,A8
61,Chắp xanh,Exbucklandia populnea ,53.8,17.12,0.02,14.499669,108.576313,A8
62,Chắp xanh,Exbucklandia populnea ,42,13.37,0.01,14.500041,108.57626,A8
63,Chắp xanh,Exbucklandia populnea ,38.2,12.16,0.01,14.500088,108.576176,A8
64,Chắp xanh,Exbucklandia populnea ,45.5,14.48,0.02,14.499497,108.576147,A8
65,Chắp xanh,Exbucklandia populnea ,39,12.41,0.01,14.499852,108.576144,A8
66,Chắp xanh,Exbucklandia populnea ,32.5,10.34,0.01,14.499415,108.576133,A8
67,Chắp xanh,Exbucklandia populnea ,56,17.82,0.02,14.500113,108.576043,A8
