sname,Species,Nomenclature,C(cm),DBH(cm),S(m2),Latitude,Longitude,Code,Codechar,Codenum,ref_lat,ref_long,distance,d2x,d2y
S0000,Bạch tùng,Dacrycarpus imbricatus ,62.5,19.89,0.03108092,14.499769,108.576385,A1,A,1,14.4991,108.5754,129.43412795382798,106.17948939734714,74.02100722421008
S0001,Bạch tùng,Dacrycarpus imbricatus ,84.8,26.99,0.057217059,14.499799,108.576357,A1,A,1,14.4991,108.5754,128.93312973487613,103.16117530962902,77.34031194639954
S0002,Bạch tùng,Dacrycarpus imbricatus ,53.5,17.03,0.022774109,14.499337,108.576284,A1,A,1,14.4991,108.5754,98.83443045894512,95.29223400665917,26.22279127332115
S0003,Bạch tùng,Dacrycarpus imbricatus ,88.5,28.17,0.062318985,14.499328,108.576277,A1,A,1,14.4991,108.5754,97.84564675813989,94.53766131101048,25.226993149469163
S0004,Bạch tùng,Dacrycarpus imbricatus ,69.0,21.96,0.037881922,14.499651,108.576259,A1,A,1,14.4991,108.5754,110.86463246724097,92.59718747594458,60.9649702996827
S0005,Bạch tùng,Dacrycarpus imbricatus ,184.0,58.56,0.269382559,14.499441,108.576244,A1,A,1,14.4991,108.5754,98.49341659799913,90.98032577658975,37.72974204434229
S0006,Bạch tùng,Dacrycarpus imbricatus ,90.5,28.8,0.065167489,14.499477,108.576189,A1,A,1,14.4991,108.5754,94.72974041280008,85.05149934413127,41.712901816964575
S0007,Bạch tùng,Dacrycarpus imbricatus ,96.0,30.55,0.07332909,14.499442,108.576189,A1,A,1,14.4991,108.5754,93.08948931224855,85.05151269547915,37.840364805667335
S0008,Bạch tùng,Dacrycarpus imbricatus ,123.0,39.15,0.120377148,14.499428,108.576173,A1,A,1,14.4991,108.5754,90.88681235661006,83.3267724230274,36.29134411821431
S0009,Bạch tùng,Dacrycarpus imbricatus ,81.0,25.78,0.05220401,14.49957,108.576166,A1,A,1,14.4991,108.5754,97.58303014238099,82.5721436274395,52.00277750792105
S0010,Bạch tùng,Dacrycarpus imbricatus ,100.0,31.83,0.079567155,14.499448,108.576141,A1,A,1,14.4991,108.5754,88.67329457799076,79.87727403288787,38.504210995552995
S0011,Bạch tùng,Dacrycarpus imbricatus ,120.5,38.35,0.115533498,14.499708,108.576137,A1,A,1,14.4991,108.5754,104.10157547933355,79.44599502179692,67.27162769159077
S0012,Bạch tùng,Dacrycarpus imbricatus ,170.4,54.23,0.231032463,14.499599,108.576122,A1,A,1,14.4991,108.5754,95.4236305514948,77.8290860896513,55.211435645867944
S0013,Bạch tùng,Dacrycarpus imbricatus ,143.5,45.67,0.163846674,14.49942,108.576068,A1,A,1,14.4991,108.5754,80.24192812056059,72.00813192299397,35.406157168858485
S0014,Bạch tùng,Dacrycarpus imbricatus ,126.5,40.26,0.12732535,14.499314,108.576064,A1,A,1,14.4991,108.5754,75.39169050673027,71.5769795325958,23.677901056744126
S0015,Bạch tùng,Dacrycarpus imbricatus ,108.5,34.53,0.093668444,14.499534,108.576038,A1,A,1,14.4991,108.5754,83.87948487748325,68.7741986167591,48.01955422465429
S0016,Bạch tùng,Dacrycarpus imbricatus ,176.0,56.02,0.246467218,14.499561,108.576015,A1,A,1,14.4991,108.5754,83.6463807428547,66.29486994913918,51.00693315428146
S0017,Bạch tùng,Dacrycarpus imbricatus ,166.0,52.83,0.219255251,14.499416,108.576001,A1,A,1,14.4991,108.5754,73.61824097822834,64.78576057184642,34.96356148700942
S0018,Bạch tùng,Dacrycarpus imbricatus ,131.0,41.69,0.136545194,14.49963,108.575984,A1,A,1,14.4991,108.5754,86.03434517856708,62.953157835158116,58.64135459627872
S0019,Bạch tùng,Dacrycarpus imbricatus ,182.0,57.92,0.263558243,14.49962,108.575958,A1,A,1,14.4991,108.5754,83.23666559343634,60.15045145089161,57.534908441462576
S0020,Bạch tùng,Dacrycarpus imbricatus ,120.0,38.19,0.114576703,14.499604,108.575918,A1,A,1,14.4991,108.5754,78.91539035490983,55.838595139077896,55.76459564779379
S0021,Bạch tùng,Dacrycarpus imbricatus ,98.0,31.19,0.076416295,14.499354,108.575916,A1,A,1,14.4991,108.5754,62.319648268341126,55.62306447833955,28.103616463512914
S0022,Bạch tùng,Dacrycarpus imbricatus ,180.0,57.29,0.257797581,14.499225,108.575914,A1,A,1,14.4991,108.5754,57.10757886824427,55.40750326170578,13.83055120003547
S0023,Bạch tùng,Dacrycarpus imbricatus ,187.5,59.68,0.279728278,14.4995032,108.5758683,A1,A,1,14.4991,108.5754,67.36873431055137,50.48113113067333,44.61167742165077
S0024,Bạch tùng,Dacrycarpus imbricatus ,82.5,26.26,0.054155395,14.500104,108.576168,A1,A,1,14.4991,108.5754,138.5424700117057,82.78753840397903,111.08663052750347
S0025,Chẹo,Engelhardtia roxburghiana ,425.0,135.26,1.437181731,14.499872,108.576441,A10,A,10,14.4991,108.5754,141.0268206383027,112.21603796753722,85.41735749961035
S0026,Chẹo,Engelhardtia roxburghiana ,68.5,21.8,0.037334898,14.499362,108.57611,A10,A,10,14.4991,108.5754,81.8416237908904,76.5356092288686,28.98882378944619
S0027,Chẹo,Engelhardtia roxburghiana ,87.5,27.85,0.060918603,14.5000887,108.5756392,A10,A,10,14.4991,108.5754,112.39141820273962,25.78487050151835,109.39365310127933
S0028,Chò xót,Schima crenata,32.8,10.44,0.008560153,14.499936,108.576429,A12,A,12,14.4991,108.5754,144.4291309159094,110.9224494928815,92.49856245166221
S0029,Chò xót,Schima crenata,37.0,11.78,0.010892743,14.499658,108.576424,A12,A,12,14.4991,108.5754,126.47652934474011,110.383605354246,61.73955088991966
S0030,Chò xót,Schima crenata,37.0,11.78,0.010892743,14.499755,108.576315,A12,A,12,14.4991,108.5754,122.39608166343916,98.63374507453122,72.47196105484974
S0031,Chò xót,Schima crenata,56.0,17.82,0.02495226,14.499747,108.576309,A12,A,12,14.4991,108.5754,121.35121438799203,97.98696993519233,71.5868071390261
S0032,Chò xót,Schima crenata,129.4,41.18,0.133230108,14.499999,108.576284,A12,A,12,14.4991,108.5754,137.74850503392832,95.29195106320624,99.46906404329783
S0033,Chò xót,Schima crenata,66.2,21.07,0.034869828,14.500099,108.576202,A12,A,12,14.4991,108.5754,140.32708975171136,86.45261365757207,110.5334234969651
S0034,Chò xót,Schima crenata,66.0,21.01,0.034659453,14.499906,108.576183,A12,A,12,14.4991,108.5754,122.78863267917951,84.40455747301658,89.17913989833447
S0035,Chò xót,Schima crenata,142.9,45.48,0.162479392,14.499852,108.576144,A12,A,12,14.4991,108.5754,115.56421476389148,80.20051847942035,83.20435427083724
S0036,Chò xót,Schima crenata,115.5,36.76,0.106144574,14.499724,108.576133,A12,A,12,14.4991,108.5754,104.92915289655988,79.01480348917967,69.04192897910632
S0037,Chò xót,Schima crenata,88.4,28.13,0.06217823,14.499371,108.576032,A12,A,12,14.4991,108.5754,74.43405100185709,68.12746912665794,29.984594360159857
S0038,Chò xót,Schima crenata,64.0,20.37,0.032590707,14.499934,108.576021,A12,A,12,14.4991,108.5754,114.00103309839508,66.9415371742886,92.27711605942565
S0039,Chò xót,Schima crenata,65.5,20.85,0.034136299,14.499495,108.575945,A12,A,12,14.4991,108.5754,73.22251153482969,58.74912978517115,43.704415623062424
S0040,Chò xót,Schima crenata,76.6,24.38,0.046686505,14.4997903,108.5758763,A12,A,12,14.4991,108.5754,92.03085544286911,51.34343753171092,76.3775475907257
S0041,Chò xót,Schima crenata,148.0,47.1,0.174283896,14.4996996,108.5757034,A12,A,12,14.4991,108.5754,73.96568312727973,32.70544884277367,66.34211254156645
S0042,Chò xót,Schima crenata,161.4,51.37,0.20727212,14.499258,108.5756695,A12,A,12,14.4991,108.5754,33.90552077162995,29.05120606843683,17.48175519690884
S0043,Chò xót,Schima crenata,87.0,27.69,0.060224379,14.4995053,108.5756644,A12,A,12,14.4991,108.5754,53.134868861460866,28.50141137069706,44.843994456370005
S0044,Chò xót,Schima crenata,110.5,35.17,0.097153485,14.4995063,108.5756568,A12,A,12,14.4991,108.5754,52.79414042963013,27.682157365820604,44.954637439061294
S0045,Chò xót,Schima crenata,164.0,52.2,0.214003819,14.4997261,108.5756521,A12,A,12,14.4991,108.5754,74.41382705443284,27.17548672847524,69.27416963022732
S0046,Chò xót,Schima crenata,136.0,43.28,0.147167409,14.4998808,108.5756019,A12,A,12,14.4991,108.5754,89.09007899919618,21.76408950116501,86.3907783520226
S0047,Chò xót,Schima crenata,225.0,71.61,0.402808721,14.4998983,108.5755556,A12,A,12,14.4991,108.5754,89.90552786647277,16.773115704242937,88.32704303055317
S0048,Chò xót,Schima crenata,231.0,73.52,0.424578294,14.499405,108.5755528,A12,A,12,14.4991,108.5754,37.55161640132988,16.471322301668263,33.74639885954045
S0049,Chò xót,Schima crenata,220.0,70.02,0.385105029,14.4994331,108.575528,A12,A,12,14.4991,108.5754,39.35366639910973,13.797964588007062,36.85549120932349
S0050,Chôm chôm đỏ,Nephelium Sp ,48.9,15.56,0.019026178,14.499577,108.576365,A13,A,13,14.4991,108.5754,116.64634662199276,104.02365025953335,52.777366047770606
S0051,Chua ke,Microcos paniculata,45.0,14.32,0.016112349,14.499925,108.576372,A14,A,14,14.4991,108.5754,138.96310996363087,104.77806241731666,91.28145247988257
S0052,Cóc đá,Garuga pinnata ,50.4,16.04,0.02021133,14.500047,108.5759155,A15,A,15,14.4991,108.5754,118.60324679998243,55.56899343470597,104.77985073548801
S0053,Cóc đá,Garuga pinnata ,63.5,20.21,0.032083466,14.4998717,108.5758871,A15,A,15,14.4991,108.5754,100.23707700989559,52.507619757962665,85.38396497493511
S0054,Cóc đá,Garuga pinnata ,38.1,12.13,0.011550048,14.4998717,108.5758871,A15,A,15,14.4991,108.5754,100.23707700989559,52.507619757962665,85.38396497493511
S0055,Cóc đá,Garuga pinnata ,36.5,11.62,0.010600334,14.5000154,108.5758451,A15,A,15,14.4991,108.5754,112.0733626640712,47.980140608216466,101.28348693665816
S0056,Cóc đá,Garuga pinnata ,90.8,28.9,0.065600255,14.4997667,108.5758056,A15,A,15,14.4991,108.5754,85.75025489736743,43.72223486612895,73.76633645013519
S0057,Cóc đá,Garuga pinnata ,57.3,18.24,0.026124204,14.4996722,108.5758052,A15,A,15,14.4991,108.5754,76.91608727577389,43.679134806046136,63.310486212077976
S0058,Cóc đá,Garuga pinnata ,56.0,17.82,0.02495226,14.4997738,108.5757984,A15,A,15,14.4991,108.5754,86.03693541134987,42.94609915197965,74.55190690119953
S0059,Cóc đá,Garuga pinnata ,82.3,26.19,0.053893141,14.4996494,108.5757698,A15,A,15,14.4991,108.5754,72.69268630440642,39.863143393480385,60.78779845447323
S0060,Cóc đá,Garuga pinnata ,81.5,25.94,0.052850493,14.4999717,108.575659,A15,A,15,14.4991,108.5754,100.40797984629724,27.91925152433618,96.44831678746542
S0061,Cóc đá,Garuga pinnata ,76.5,24.35,0.046564688,14.49976676,108.5757676,A15,A,15,14.4991,108.5754,83.741676302828,39.625970248778884,73.77296816484012
S0062,Cóc đá,Garuga pinnata ,64.0,20.37,0.032590707,14.4997054,108.5756417,A15,A,15,14.4991,108.5754,71.87257338138659,26.054405998606338,66.98383933847467
S0063,Cóc đá,Garuga pinnata ,59.6,18.97,0.028263526,14.4997332,108.5756415,A15,A,15,14.4991,108.5754,74.74005710998402,26.03284345905858,70.0597402096227
S0064,Cóc đá,Garuga pinnata ,120.0,38.19,0.114576703,14.4998539,108.5756397,A15,A,15,14.4991,108.5754,87.32477113955389,25.838795853938603,83.41446087696035
S0065,Cóc đá,Garuga pinnata ,74.6,23.74,0.044280395,14.5000544,108.575637,A15,A,15,14.4991,108.5754,108.64503372667231,25.5477226131205,105.59856638587863
S0066,Cóc đá,Garuga pinnata ,96.4,30.68,0.073941439,14.4993843,108.5756234,A15,A,15,14.4991,108.5754,39.61585724437081,24.08176533991987,31.456076095396917
S0067,Cóc đá,Garuga pinnata ,129.4,41.18,0.133230108,14.4992604,108.5755865,A15,A,15,14.4991,108.5754,26.816794013444454,20.10408116308765,17.7472916735905
S0068,Cóc đá,Garuga pinnata ,196.4,62.51,0.306914067,14.4995727,108.5754971,A15,A,15,14.4991,108.5754,53.33847910625889,10.467043145699387,52.301380107554365
S0069,Côm,Elaeocarpus Sp,51.3,16.33,0.020939609,14.499834,108.57636,A16,A,16,14.4991,108.5754,131.546869281201,103.48454832795937,81.21285043048069
S0070,Côm,Elaeocarpus Sp,72.8,23.17,0.042169319,14.499366,108.57596,A16,A,16,14.4991,108.5754,67.15856058503516,60.36611323858887,29.431354578403347
S0071,Côm,Elaeocarpus Sp,53.6,17.06,0.022859325,14.499383,108.5758569,A16,A,16,14.4991,108.5754,58.36304849348002,49.252276849319465,31.31227642012459
S0072,Côm,Elaeocarpus Sp,37.5,11.94,0.011189131,14.4997478,108.5757708,A16,A,16,14.4991,108.5754,82.067065215808,39.970922246051494,71.67516004820492
S0073,Côm,Elaeocarpus Sp,60.4,19.22,0.029027371,14.4998289,108.5756754,A16,A,16,14.4991,108.5754,85.93884370198766,29.68713048009691,80.6483672537291
S0074,Côm,Elaeocarpus Sp,70.0,22.28,0.038987906,14.4998394,108.5756656,A16,A,16,14.4991,108.5754,86.67534412995926,28.63072434330518,81.81012714587685
S0075,Côm,Elaeocarpus Sp,168.0,53.47,0.224570337,14.4999862,108.5756283,A16,A,16,14.4991,108.5754,101.09386472349601,24.60990234980835,98.05265009710553
S0076,Côm,Elaeocarpus Sp,65.6,20.88,0.034240611,14.4998602,108.5756034,A16,A,16,14.4991,108.5754,86.92230349960381,21.925786101044576,84.11151377503842
S0077,Côm,Elaeocarpus Sp,77.0,24.51,0.047175366,14.4999133,108.5755167,A16,A,16,14.4991,108.5754,90.86175392400644,12.579835931011417,89.98669931770769
S0078,Côm đăklăk,Elaeocarpus darlacensis,32.0,10.18,0.008147677,14.50001,108.576357,A17,A,17,14.4991,108.5754,144.15240043742813,103.16107767901651,100.68617881306524
S0079,Côm đăklăk,Elaeocarpus darlacensis,55.0,17.5,0.024069064,14.49931,108.576162,A17,A,17,14.4991,108.5754,85.36412894814559,82.14105328601451,23.235358317438394
S0080,Côm đăklăk,Elaeocarpus darlacensis,55.4,17.63,0.024420433,14.499851,108.576144,A17,A,17,14.4991,108.5754,115.48457872040562,80.20051883925807,83.09371035248923
S0081,Côm đăklăk,Elaeocarpus darlacensis,220.0,70.02,0.385105029,14.4997178,108.5756629,A17,A,17,14.4991,108.5754,73.99768245346198,28.33968951524947,68.35582642805699
S0082,Côm lá kèm,Elaeocarpus stipularis,81.4,25.91,0.052720878,14.499765,108.576422,A18,A,18,14.4991,108.5754,132.47930957227774,110.16795950318996,73.578449043527
S0083,Côm lá kèm,Elaeocarpus stipularis,101.8,32.4,0.082457352,14.499302,108.5764,A18,A,18,14.4991,108.5754,110.08931123212753,107.79666172538215,22.350305779290174
S0084,Côm lá kèm,Elaeocarpus stipularis,48.2,15.34,0.01848536,14.499427,108.576372,A18,A,18,14.4991,108.5754,110.84917858633516,104.77829645444858,36.18078198946107
S0085,Côm lá kèm,Elaeocarpus stipularis,124.6,39.66,0.123529281,14.499345,108.576338,A18,A,18,14.4991,108.5754,104.68395756119033,101.1132491979912,27.107965753594097
S0086,Côm lá kèm,Elaeocarpus stipularis,84.0,26.73,0.056142584,14.499417,108.576299,A18,A,18,14.4991,108.5754,103.06110037986102,96.90914890720472,35.07431067874336
S0087,Côm lá kèm,Elaeocarpus stipularis,98.7,31.41,0.077511856,14.499572,108.576271,A18,A,18,14.4991,108.5754,107.43758907741895,93.89077866240818,52.2241058222638
