sourcecode,sourcelong,sourcelat,Area,N,N%,G%,IVI%,IVIcu,idx,index
A20,108.57647,14.499707,13386.634249231713,92.62970638576805,15.676359039190896,7.685317003815471,11.680838021503183,11.680838021503183,11,0
A42,108.576379,14.499346,13386.634249231713,28.386522924670853,4.804045512010114,13.472082023148982,9.138063767579547,20.81890178908273,34,1
A72,108.576458,14.499408,13386.634249231713,33.61561925289969,5.689001264222503,10.289510120676795,7.989255692449649,28.80815748153238,65,2
A34,108.576387,14.499607,13386.634249231713,23.15742659644201,3.919089759797724,8.67681385656143,6.297951808179578,35.10610928971196,25,3
A74,108.576412,14.499765,13386.634249231713,41.83277062583073,7.079646017699115,5.221546388746048,6.150596203222582,41.25670549293454,67,4
A1,108.576385,14.499769,13386.634249231713,18.675344029388718,3.16055625790139,6.790054064591536,4.975305161246463,46.232010654181,0,5
A12,108.576429,14.499936,13386.634249231713,16.434302745862073,2.781289506953224,5.878836708494122,4.330063107723673,50.56207376190468,2,6
A75,108.576418,14.500009,13386.634249231713,25.398467879968656,4.298356510745891,4.202369859757353,4.250363185251622,54.8124369471563,68,7
A21,108.576399,14.499278,13386.634249231713,26.145481641144208,4.424778761061947,3.6690842933707537,4.04693152721635,58.85936847437265,12,8
A61,108.576392,14.499386,13386.634249231713,30.627564208197498,5.183312262958281,2.6755521317123976,3.9294321973353394,62.78880067170799,54,9
A18,108.576422,14.499765,13386.634249231713,14.193261462335427,2.402022756005057,4.5192656282393235,3.4606441921221904,66.24944486383018,8,10
A8,108.57642,14.499237,13386.634249231713,18.675344029388718,3.16055625790139,1.9326648708439924,2.546610564372691,68.79605542820286,73,11
A15,108.5759155,14.500047,13386.634249231713,12.699233939984328,2.1491782553729455,2.2518549532527357,2.2005166043128406,70.9965720325157,5,12
A47,108.576404,14.49989,13386.634249231713,17.18131650703762,2.907711757269279,0.8665869434642735,1.8871493503667764,72.88372138288247,39,13
A27,108.576435,14.499655,13386.634249231713,17.18131650703762,2.907711757269279,0.8129158318595163,1.8603137945643977,74.74403517744686,17,14
A10,108.576441,14.499872,13386.634249231713,2.241041283526646,0.37926675094816686,3.2065782287789224,1.7929224898635447,76.5369576673104,1,15
A22,108.576561,14.4999,13386.634249231713,14.193261462335427,2.402022756005057,0.8738443499303152,1.6379335529676862,78.17489122027808,13,16
A65,108.576445,14.499556,13386.634249231713,9.711178895282133,1.643489254108723,0.8683040410602308,1.2558966475844768,79.43078786786256,58,17
A55,108.576443,14.499682,13386.634249231713,9.711178895282133,1.643489254108723,0.8068425350294531,1.225165894569088,80.65595376243165,47,18
A39,108.576369,14.499474,13386.634249231713,10.458192656457683,1.7699115044247788,0.5550166908036629,1.1624640976142209,81.81841786004587,30,19
A16,108.57636,14.499834,13386.634249231713,6.723123850579939,1.1378002528445006,0.9840955564280625,1.0609479046362815,82.87936576468215,6,20
A38,108.576421,14.499939,13386.634249231713,2.241041283526646,0.37926675094816686,1.475081804526474,0.9271742777373204,83.80654004241947,29,21
A37,108.576431,14.499728,13386.634249231713,5.229096328228842,0.8849557522123894,0.9375258051975831,0.9112407787049863,84.71778082112446,28,22
A30,108.576384,14.499505,13386.634249231713,8.217151372931037,1.390644753476612,0.3884834879761559,0.8895641207263839,85.60734494185085,21,23
A52,108.576227,14.499553,13386.634249231713,4.482082567053292,0.7585335018963337,0.923526459491037,0.8410299806936854,86.44837492254455,45,24
A2,108.576392,14.499806,13386.634249231713,7.470137611755487,1.2642225031605563,0.306049023017263,0.7851357630889096,87.23351068563345,10,25
A43,108.575712,14.499349,13386.634249231713,5.97611008940439,1.011378002528445,0.5470647217395237,0.7792213621339843,88.01273204776743,35,26
A36,108.5758197,14.4999382,13386.634249231713,4.482082567053292,0.7585335018963337,0.7399744223623881,0.7492539621293609,88.76198600989679,27,27
A17,108.576357,14.50001,13386.634249231713,2.988055044702195,0.5056890012642224,0.9225453639830627,0.7141171826236425,89.47610319252043,7,28
A5,108.576286,14.499481,13386.634249231713,5.97611008940439,1.011378002528445,0.41054214185306614,0.7109600721907555,90.18706326471118,42,29
A81,108.576141,14.499448,13386.634249231713,5.229096328228842,0.8849557522123894,0.3547177024561685,0.619836727334279,90.80689999204546,74,30
A35,108.576382,14.499312,13386.634249231713,3.7350688058777437,0.6321112515802781,0.5355142759903109,0.5838127637852946,91.39071275583075,26,31
A7,108.576347,14.500001,13386.634249231713,4.482082567053292,0.7585335018963337,0.3965494566504368,0.5775414792733853,91.96825423510413,62,32
A68,108.576217,14.499626,13386.634249231713,2.988055044702195,0.5056890012642224,0.4305445866156365,0.46811679393992944,92.43637102904405,61,33
A51,108.57617,14.499286,13386.634249231713,3.7350688058777437,0.6321112515802781,0.15634110615294247,0.3942261788666103,92.83059720791067,44,34
A59,108.576358,14.499612,13386.634249231713,2.988055044702195,0.5056890012642224,0.27979267677532016,0.3927408390197713,93.22333804693044,51,35
A46,108.576163,14.499742,13386.634249231713,2.988055044702195,0.5056890012642224,0.22375641366765123,0.3647227074659368,93.58806075439637,38,36
A3,108.576154,14.499502,13386.634249231713,2.241041283526646,0.37926675094816686,0.3489396332824744,0.3641031921153206,93.95216394651169,20,37
A73,108.576163,14.499304,13386.634249231713,1.4940275223510975,0.2528445006321112,0.4375759788884244,0.3452102397602678,94.29737418627195,66,38
A70,108.575829,14.499358,13386.634249231713,2.988055044702195,0.5056890012642224,0.12635190837966465,0.3160204548219435,94.61339464109389,63,39
A26,108.576035,14.499978,13386.634249231713,1.4940275223510975,0.2528445006321112,0.34948650002647685,0.301165500329294,94.91456014142318,16,40
A76,108.576223,14.499742,13386.634249231713,1.4940275223510975,0.2528445006321112,0.2934471855549447,0.27314584309352796,95.18770598451671,69,41
A58,108.576063,14.499857,13386.634249231713,2.241041283526646,0.37926675094816686,0.14546732494819845,0.26236703794818267,95.45007302246489,50,42
A83,108.576164,14.499496,13386.634249231713,2.241041283526646,0.37926675094816686,0.11686246205795342,0.24806460650306014,95.69813762896796,76,43
A63,108.5757687,14.5001193,13386.634249231713,2.241041283526646,0.37926675094816686,0.10456103628953559,0.24191389361885124,95.94005152258681,56,44
A45,108.576365,14.499452,13386.634249231713,1.4940275223510975,0.2528445006321112,0.2164518751135482,0.2346481878728297,96.17469971045965,37,45
A33,108.576088,14.499644,13386.634249231713,1.4940275223510975,0.2528445006321112,0.2159059106545591,0.23437520564333517,96.40907491610298,24,46
A57,108.576432,14.500014,13386.634249231713,2.241041283526646,0.37926675094816686,0.07383478649662252,0.22655076872239469,96.63562568482537,49,47
A49,108.575818,14.499316,13386.634249231713,1.4940275223510975,0.2528445006321112,0.1927904513544633,0.22281747599328727,96.85844316081865,41,48
A25,108.5758375,14.4998756,13386.634249231713,1.4940275223510975,0.2528445006321112,0.17908224841395318,0.21596337452303221,97.07440653534168,15,49
A24,108.576144,14.499876,13386.634249231713,0.7470137611755487,0.1264222503160556,0.2787385453968104,0.202580397856433,97.27698693319812,14,50
